"","organization"
"20","The Latest on sexual misconduct allegations against Rep. John Conyers (all times local):"
"21","U.S. President Donald Trump's push for a major military buildup suffered a setback on Thursday when the House of Representatives put plans on hold to fully fund the federal government through next Sept. 30 and instead resorted to temporary measure..."
"22","Congress is likely to miss a Dec. 8 deadline for passing legislation funding a wide range of federal government programs through Sept. 30, 2018, kicking the contentious debate into next year, a senior U.S. House of Representatives aide said on Tue..."
"23","Mexico's ruling party rammed a bill through Congress' lower house Thursday giving the military legal justification to act as police, stream-rolling objections by rights groups and opposition legislators who said it would effectively militarize the..."
"24","Despite incendiary words from President Donald Trump, Congress seemed on track Wednesday to approving legislation that would avert a partial government shutdown over the weekend as all sides seemed ready to avert a confrontation &#8212; for now."
"25","Mr. Franken was a star on the sketch comedy show and then a talk-radio host before running for political office."
"26","Congress on Thursday passed a stopgap spending bill to prevent a government shutdown this weekend and buy time for challenging talks on a wide range of unfinished business on Capitol Hill. The shutdown reprieve came as all sides issued optimistic ..."
"27","The Republican-controlled U.S. House of Representatives voted on Monday to go to conference on tax legislation with the Senate, moving Congress another step closer to a final bill."
"28","U.S. regulators said they are open to revising restrictions on leveraged lending, offering an olive branch to a GOP-controlled Congress keen to roll back banking regulations."
"29","President Donald Trump's eldest son, Donald Trump Jr., declined to discuss with lawmakers on Wednesday a conversation he had with his father about emails related to a June 2016 meeting he attended with Trump associates and Russians, a congressiona..."
"30","Democrats have a rare chance to win major concessions in a U.S. Congress they do not control by taking advantage of a battle within the Republican Party over keeping the government open. "
"31","Rahul Gandhi, the scion of India's Nehru-Gandhi political dynasty, submitted nomination papers Monday to succeed his mother as president of the main opposition Congress party, which previously governed the country for decades."
"32","Colombia's lower house of congress late on Monday backed a bill to regulate transitional justice under the nation's peace deal with Marxist FARC rebels, including special tribunals that will try guerrilla leaders for war crimes."
"33","Mr. Conyers, in trying to keep his seat in the family, touched off a family feud between his son and his great-nephew, a state senator who also plans to run for the post."
"34","Democratic leaders in Congress said on Monday they had accepted an invitation from President Donald Trump to meet with him and Republican leaders to discuss year-end legislative priorities, including efforts to fund the government and avoid a shut..."
"35","The Kremlin on Thursday called a U.S. decision to withdraw the Congressional press credentials of Russia's RT broadcaster because of its status as ""a foreign agent"" in the United States an unfriendly step."
"36","The top two Republicans in the U.S. Congress said if leading Democrats want to reach an agreement with Republicans on a must-pass government funding bill, they need to attend a planned meet with President Donald Trump later on Tuesday."
"37","The top two Democrats in the U.S. Congress said they would not meet with President Donald Trump on Tuesday as planned after he said he does not think he can reach a deal with them on legislation to fund the government."
"38","No firm date has been set yet for a Congress of Syria's peoples proposed by Russia, the Kremlin said on Tuesday, stressing that such a forum should be as inclusive as possible."
"39","A coalition of nearly 40 advocacy groups said Wednesday they're concerned about the Trump administration's commitment to the global fight against AIDS so they're urging senior members of Congress to make sure money for key prevention programs isn'..."
"40","The pace at which Beijing is announcing deleveraging reforms following last month's Communist Party Congress is a wake-up call for investors in Chinese markets: risk just got real.    "
"41","Faced with a Friday deadline to pass a government funding measure, the House and Senate passed on Thursday a two-week fix to buy more time for negotiations."
"42","While his administration attempts to guide a tax bill through Congress, President Trump continued to break with longstanding presidential norms."
"43","As the U.S. Congress worked to reach agreement on a short-term spending measure to keep the federal government open, White House spokeswoman Sarah Sanders said on Tuesday a shutdown could still happen."
"44","House Speaker Paul Ryan has formally invited President Donald Trump to deliver his first State of the Union address to a joint session of Congress on Jan. 30."
"45","U.S. President Donald Trump has accepted an invitation by Congress to deliver a State of the Union address on Jan. 30, White House spokeswoman Sarah Sanders told reporters on Thursday."
"46","FIFA has declined to take over the governance of Australian football and will instead work with the country's embattled federation to end a long-running power struggle."
"47","It may frustrate the president, but he does not have the power to appoint the interim head of the Consumer Financial Protection Bureau."
"48","Australia's football association failed to pass a vote to secure reforms demanded by FIFA at an annual general meeting on Thursday, paving the way for the global body to take over the governance of soccer in the country.  "
"49","The White House said on Wednesday that it does not expect the government to shut down next month, but has contingency plans in place if the U.S. Congress fails to reach a deal on funding the government by a Dec. 8 deadline."
"50","Germany's Social Democrats (SPD) will do everything in their power to ensure that Berlin embraces the European ideas of French President Emmanuel Macron, SPD leader Martin Schulz said on Wednesday."
"51","U.S. Senate Majority Leader Mitch McConnell said the Senate will  vote later on Wednesday on whether to send its tax legislation to a conference to hammer out differences with the U.S. House of Representatives' version of the plan. "
"52","U.S. President Donald Trump would sign a stop-gap spending measure funding the government through Dec. 22 that is being considered by the House of Representatives, the White House said in a statement on Wednesday."
"53","The U.S. Senate voted on Wednesday to go to a conference committee to resolve differences between its tax legislation and a rival version passed by the House of Representatives, moving the Republican-led Congress a step closer to a final bill."
"54","A bipartisan group of lawmakers in the U.S. House of Representatives on Wednesday introduced legislation requiring the disclosure of sexual harassment case settlements involving members of Congress and their staffers."
"55","The Latest on President Donald Trump and the State of the Union (all times local):"
"56","Treasury Secretary Steven Mnuchin told Congress Wednesday that he will start taking emergency measures this week to keep the government from going above the debt limit when it goes back into effect on Friday."
"57","The U.S. Senate voted on Wednesday to begin debating the Republican tax overhaul, paving the way for a final vote on the bill that is expected by week's end."
"58","The U.S. Congress is careening toward major deadlines on a Republican tax bill, the budget and other policies. Here is the outlook for what promises to be a sprint to the end of 2017."
"59","Transmitting data at one millisecond, which is close to 1,000 percent faster than today’s speed, will force businesses to change the way they currently work."
"60","Major British business groups and trade unions called on Wednesday for Britain and the European Union to end the uncertainty around citizens' rights after Brexit and guarantee before Christmas that there will be no change."
"61","Officials in Ali Abdullah Saleh's General People's Congress party (GPC) confirmed to Reuters that the former Yemeni president and party leader has been killed outside Sanaa, in what sources in the Houthi group said was an RPG and gun attack."
"62","Peruvian President Pedro Pablo Kuczynski said on Thursday that authorities leading an expanding graft investigation into Brazilian builder Odebrecht had gone too far by raiding the offices of the rightwing opposition party that rules Congress."
"63","U.S. President Donald Trump said on Tuesday he expected the conference committee hammering out tax legislation in Congress will work well and get the job done fast."
"64","Germany's SPD leader Martin Schulz said on Monday that talks with Chancellor Angela Merkel's conservatives about forming a government would start next week if party members gave the go-ahead at the SPD party congress later this week."
"65","U.S. Representative Sander Levin of Michigan said on Saturday he would not run for reelection next year, stepping down after more than three decades in Congress."
"66","The Saudi-led coalition fighting in Yemen said on Saturday it was confident that leaders of former Yemeni President Ali Abdullah Saleh's General People's Congress Party (GPC) would return to the Arab fold."
"67","Support from business leaders for Peru's President Pedro Pablo Kuczynski has plummeted, a survey showed, as he spars with an opposition-controlled Congress and struggles to revive economic growth."
"68","A senior German conservative said on Friday that his party was prepared to go into coalition talks with the Social Democrats (SPD) after party leaders met with the president late on Thursday to try to put an end to political impasse in Germany."
"69","The U.S. Treasury would exhaust all of its borrowing options and run dry of cash to pay its bills by late March or early April if Congress does not raise the debt ceiling before then, the non-partisan Congressional Budget Office said on Thursday."
"70","Democratic leaders in Congress skipped a meeting with President Donald Trump on Tuesday that was to have focused on the budget, raising the risk of a government shutdown next month with both sides far apart on the terms of an agreement."
"71","A reader faults Congress for not acting in the interests of the people; another foresees the end of the New Deal and the Great Society."
"72","U.S. Senate Republican leader Mitch McConnell said on Sunday it would be ""ridiculous"" for a fight with Democrats over immigration issues to result in a standoff over a year-end spending bill and prompt a shutdown of the federal government."
"73","The Latest on accusations of sexual misconduct in Congress (all times local):"
"74","In a case being closely watched by states interested in allowing betting on sports, the Supreme Court indicated a willingness Monday to side with New Jersey's effort to permit sports gambling."
"75","The head of the Federal Emergency Management Agency on Thursday said the wave of recent U.S. disasters, from multiple storms to raging wildfires, must redefine the agency's role and that localities must be more prepared to shoulder crises."
"76","A federal judge in Argentina indicted former President Cristina Fernandez for treason and asked for her arrest for allegedly covering up Iran's possible role in the 1994 bombing of a Jewish community centre that killed 85 people, a court ruling sa..."
"77","The Latest on Congress and the budget (all times local):"
"78","Critics of the agency are exaggerating when they say the agency is “completely unaccountable” and adds little to consumer protection."
"79","Pressured to respond to burgeoning sexual misconduct allegations, the House easily approved a bipartisan measure Wednesday requiring annual anti-harassment training for lawmakers and aides after a debate that rang with lawmakers' own accounts of s..."
"80","President Donald Trump signed proclamations Monday to significantly shrink two large national monuments in Utah after his administration reviewed sites nationwide."
"81","The White House is confident it can craft a deal to avoid a government shutdown and foresees a compromise with lawmakers that will include increases in defense and non-defense spending, White House legislative affairs director Marc Short said on T..."
"82","Members of the U.S. House of Representatives Intelligence Committee are close to an agreement on how to overhaul a controversial National Security Agency surveillance program and hope to complete legislation soon, the top Democrat on the panel sai..."
"83","The Latest on President Trump's discussions with lawmakers on taxes and the budget (all times local):"
"84","The leader of Germany's Social Democrats (SPD) on Thursday asked party members to give the green light for talks with Chancellor Angela Merkel's conservatives to find a way out of the political impasse and leave all government options on the table..."
"85","The Supreme Court on Tuesday seemed reluctant to broadly apply whistleblower protections passed by Congress following the 2008 financial crisis, suggesting those particular protections only apply to people who report problems to the government."
"86","The leader of Germany's Social Democrats (SPD) took aim at U.S. technology firms Apple, Facebook and Google on Thursday, saying a strong Europe was needed to make sure they stick to the rules."
"87","The Justice Department is reviewing whether devices that allow semiautomatic rifles to fire faster should be banned."
"88","The White House says it believes President Donald Trump's eldest son had a ""legitimate reason"" in citing attorney-client privilege to avoid answering questions to Congress about conversations with his father."
"89","The leader of Germany's Social Democrats (SPD) called on Thursday for closer integration in the European Union, with the aim of achieving a ""United States of Europe"" by 2025, while countries who are not on board should leave the bloc."
"90","Lawyers for the Trump administration have concluded that the warrantless surveillance program can keep operating into April, even if the law authorizing it expires on New Year’s Eve."
"91","The leader of Germany's Social Democrats (SPD) said on Thursday that the country must find a way to exit brown coal production without hurting coal-producing regions and causing job losses."
"92","The leader of Germany's Social Democrats (SPD) said on Thursday that it was necessary to invest in a euro zone budget rather than focussing on austerity and added that he did not support a European Union without freedom of movement of people."
"93","Saint Anthony Hospital in Chicago is a battleground in the nation's opioid crisis."
"94","U.S. stock futures opened higher on Sunday after the U.S. Senate approved a tax overhaul bill early Saturday. "
"95","The Latest on Congress and allegations of sexual misconduct against lawmakers. (all times local):"
"96","A new Harvard poll has found that two-thirds of millennials have more fear than hope about the country's future."
"97","President Donald Trump says on Twitter that he never asked former FBI director James Comey to stop investigating his ex-national security adviser Michael Flynn."
"98","The White House says it does not anticipate the government will be forced to shut down at midnight on Dec. 8."
"99","Monica Lewinsky isn't too pleased with the title of an upcoming TV special about her affair with President Bill Clinton that led to his impeachment."
"100","The Latest on former U.S. Rep. Corrine Brown's sentencing hearing (all times local):"
"101","The U.S. Justice Department has tapped a North Carolina-based prosecutor for a new role designed to provide more checks and balances to its civil asset forfeiture program, following criticism of its abuse by the police."
"102","Former U.S. Representative Corrine Brown of Florida was sentenced on Monday to five years in prison for her role in helping raise more than $800,000 for a bogus charity that was used as a slush fund, federal court officials said."
"103","The Latest on Michigan Rep. Sander Levin's decision to not seek re-election after 18 terms (all times local):"
"104","Two writers say the bill does not pose a serious threat to charities. Another urges Congress to rethink a tax on licensing names and logos."
"105","A senior U.S. official overseeing a reorganization of the State Department that has been criticized by current and former U.S. diplomats has stepped down after less than four months on the job, U.S. officials said on Monday."
"106","The Latest on the budget battle in Congress (all times local):"
"107","The resignation of Democratic Rep. John Conyers, the longest-serving member of the House, brings renewed focus to allegations of sexual harassment in Congress and fresh questions of what's next as lawmakers confront a national reckoning with high-..."
"108","Federal Reserve Chair Janet Yellen said Wednesday that the Fed expects to continue raising interest rates gradually. And she sought to assure lawmakers that the Fed would take care not to choke off any extra growth generated by tax cuts as long as..."
"109","Critics say it would put the military beyond civilian oversight and remove the incentive for state and local leaders to build effective police forces."
"110","A system for settling sexual harassment complaints against lawmakers puts the burden on victims, and taxpayers."
"111","A children’s health insurance program popular with both Republicans and Democrats is in limbo because of partisan rancor that has stymied legislative action in Washington."
"112","A well-financed advertising and lobbying campaign for DACA beneficiaries is pushing Congress for a deal."
"113","A measure to open the Arctic National Wildlife Refuge to oil exploration is in the tax bill before Congress. Drilling advocates have cause for optimism."
"114","In a fresh warning, Veterans Affairs Secretary David Shulkin said Wednesday there could potentially be delays in providing medical care to tens of thousands of veterans if lawmakers don't act soon to approve billions in emergency funding for the a..."
"115","Democratic leaders in Congress on Monday accepted an invitation to meet U.S. President Donald Trump and Republicans for talks to avert a government shutdown this week, even as the Democrats pressed demands on funding priorities and protecting youn..."
"116","Democratic Rep. Sander Levin of Michigan announced Saturday that he will not seek re-election to a 19th term in 2018."
"117","Republican U.S. Rep. Joe Barton, Texas' most-senior member of Congress, announced Thursday that he won't seek re-election after a naked photo of him circulated online and a conservative activist released past messages of a sexual nature from him."
"118","If he becomes U.S. secretary of state, Mike Pompeo would have three assets Rex Tillerson did not: experience in government, the confidence of President Donald Trump, and a defter touch with Congress and the bureaucracy."
"119","The U.S. Department of Homeland Security's top internal watchdog told Reuters on Tuesday he will retire, after he complained about a delay in the release of a report critical of the department's handling of President Donald Trump's travel ban."
"120","Employees from the agency’s inspector general’s office wanted to modify and sell their own version of proprietary government software, according to investigators."
"121","Morgan Stanley fired former U.S. Democratic lawmaker Harold Ford, Jr., a managing director at the Wall Street bank, for inappropriate conduct related to an undisclosed event, a spokeswoman said on Thursday.     "
"122","Writers from across the political spectrum on the tax legislation making its way through Congress."
"123","Yemen's Houthi leader Abdul Malik al-Houthi hailed the death of the group's rival, ex-president Ali Abdullah Saleh, as a victory against a Saudi-led coalition it has fought for nearly three years."
"124","President Donald Trump's move to recognize the divided city of Jerusalem as Israel's capital may have triggered a worldwide chorus of critics but the president had his ears closely tuned to his supporters at home."
"125","The Latest on legislation intended to make it easier for gun owners to legally carry concealed weapons across state lines (all times local):"
"126","The government of Brazil's President Michel Temer is far from assembling the coalition needed to pass a landmark pension reform, but potential supporters of the measure are now more organized, a key legislator said on Monday."
"127","There is no case for obstruction of justice, but there is a constitutional tool for ousting a corrupt president."
"128","Nigeria's Atiku Abubakar, a former vice president and key ally of President Muhammadu Buhari, said on Sunday he had joined the country's opposition party after quitting the ruling All Progressives Congress (APC) last month. "
"129","The Latest on efforts to form a new government in Germany (all times local):"
"130","When sexual misconduct allegations surface in the private sector, a boss can say, ""You're fired"" &#8212; as Matt Lauer, Charlie Rose and others can attest. In the political world, it's never that simple."
"131","A reader says the president is trying to distract from deeper analysis of the tax bill with his “ridiculous tweets.”"
"132","Brazil's Copersucar, one of the world's largest ethanol merchants, and BP's Brazil unit said on Thursday they will form a 50-50 logistics joint venture in the country."
"133","Trump’s reckless behavior this week is another sign of crisis."
"134","The White House is willing to consider a small increase on the corporate tax rate if it is needed to finalize the bill in the U.S. Congress, White House budget chief Mick Mulvaney said on Sunday."
"135","The House Judiciary Committee on Wednesday advanced legislation to mandate that all states must accept any other state’s concealed-carry gun permit."
"136","The Yellow Ribbon program depends on help from private schools. A tax on endowments could threaten that."
"137","Germany's Social Democrats (SPD) leader will try on Thursday to convince a reluctant party that it has a duty to discuss forming a government under conservative Chancellor Angela Merkel, for the sake of German and European stability."
"138","German Foreign Minister Sigmar Gabriel will on Tuesday urge his country to become more assertive on foreign policy issues and less dependent on the United States, according to excerpts of a speech he is due to give, cited by the newspaper Sueddeut..."
"139","Nepalis began voting in the final round of parliamentary elections on Thursday, a key step to complete a near decade-long democratic transition after the abolition of the centuries-old monarchy and the end of a civil war against Maoist guerrillas."
"140","U.S. House of Representatives Democratic leader Nancy Pelosi said on Thursday her party would not support a short-term funding bill being brought up for a vote later in the day because it did not include any key Democratic priorities."
"141","Indian Prime Minister Narendra Modi was in the final phase of campaigning on Thursday to retain power in his home state and stave off the most serious challenge yet from a combined opposition."
"142","Members of Venezuela's government and opposition coalition failed to reach a deal in a new round of talks in the Dominican Republic on Saturday aimed at resolving the OPEC nation's protracted political crisis, but planned to meet in two weeks to t..."
"143","Readers discuss whether President Trump could be charged with obstruction of justice."
"144","The U.S. State Department has certified that the Honduran government has been fighting corruption and supporting human rights, clearing the way for Honduras to receive millions of dollars in U.S. aid, a document seen by Reuters showed."
"145","Conservative Arizona Republican Rep. Trent Franks is resigning from Congress, two GOP strategists said Thursday, the third lawmaker to announce his resignation this week."
"146","The congressional clock is running out as a handful of bills are batted around Capitol Hill to reauthorize a critical foreign intelligence collection program that expires in four weeks."
"147","Four supporters of Yemen's former president Ali Abdullah Saleh were killed in clashes with their supposed allies from the Houthi movement in the center of the capital Sanaa on Wednesday, his party said."
"148","U.S. Senate Republicans were considering a raft of last-minute changes to their sweeping tax bill on Friday, as they edged toward a final vote that could move Congress to year-end enactment of tax cuts for businesses and individuals."
"149","Republicans lined up a vote next week in the House on making it easier for gun owners to legally carry concealed weapons across state lines, the first gun-related legislation since mass shootings in Nevada and Texas killed more than 80 people."
"150","The U.S. State Department has certified that the Honduran government has been fighting corruption and supporting human rights, clearing the way for Honduras to receive millions of dollars in U.S. aid, a document seen by Reuters showed."
"151","The Latest on the U.S. Senate race in Alabama (all times local):"
"152","Germany should be more assertive in setting foreign policy according to its own interests rather than to those of the United States, the German foreign minister said on Tuesday. "
"153","Football Federation Australia's embattled chairman Steven Lowy believes a FIFA takeover of Australian soccer would be a ""reputational"" black eye for the sport but hopes to work with the global governing body to resolve a festering power struggle."
"154","U.S. Senate Republicans were considering a raft of last-minute changes to their sweeping tax bill on Friday, as they edged toward a final vote that could move Congress to year-end enactment of tax cuts for businesses and individuals."
"155","The Latest on Fed Chair Janet Yellen's testimony to the Joint Economic Committee (all times local):"
"156","Opposition has grown among Americans to a Republican tax plan before the U.S. Congress, with 49 percent of people who were aware of the measure saying they opposed it, up from 41 percent in October, according to a Reuters/Ipsos poll released on We..."
"157","The Times’s editorial board asked readers to call their senators and express their disapproval of the tax bill. But some thought this blurred a line."
"158","A group of Republicans in the U.S. House of Representatives on Wednesday urged keeping federal tax breaks on private activity bonds sold by the developers of hospitals, nursing homes, airports and toll roads to reduce costs."
"159","Puerto Rico would get substantial debt relief and other new aid to help it recover from destruction inflicted by Hurricanes Irma and Maria in September, under legislation unveiled on Tuesday by leading liberals in the U.S. Senate."
"160","Some of Democratic U.S. Representative John Conyers' colleagues in the Congressional Black Caucus (CBC) are pressing the 88-year-old lawmaker to resign amid sexual harassment allegations against him, two senior House Democratic aides said on Tuesd..."
"161","TC Bell knows what life is like without health insurance after growing up with a mother who cobbled together care from a public health clinic, emergency room visits and off-the-books visits to a doctor they knew."
"162","President Trump’s tweet that he knew his former national security adviser had lied to the F.B.I. is seen by some as evidence that he obstructed justice. But his lawyer says a president cannot violate such laws."
"163","They don't do tax reform like they used to."
"164","Germany's Social Democrats (SPD) voted on Thursday to hold talks with Chancellor Angela Merkel's conservatives on forming a government after their leader made an impassioned plea for a free hand to work for a social ""United States of Europe""."
"165","President Donald Trump on Wednesday again raised the possibility of a U.S. government shutdown - blaming Democrats for that possible outcome - one day before he is due to host Republican and Democratic congressional leaders for talks on spending b..."
"166","President Trump trusts Ms. Conway. Is that enough to get something done on the opioid addiction crisis?"
"167","Eliminating the individual mandate will likely mean the end of affordable care for all."
"168","President Donald Trump and congressional leaders have scheduled a summit to begin sorting out their budget differences, top lawmakers and the White House said Monday, as a clash that could produce a partial government shutdown by the weekend hung ..."
"169","Top Republicans tried quelling GOP divisions over the budget and a partisan immigration clash simmered in the background as leaders labored Tuesday to push a short-term spending bill through Congress by week's end and avert a partial government sh..."
"170","President Donald Trump on Wednesday again raised the possibility of a U.S. government shutdown - blaming Democrats for that possible outcome - one day before he is due to host Republican and Democratic congressional leaders for talks on spending b..."
"171","With its spacious bar and banks of TVs tuned to all-sports stations, the lounge at New Jersey's Monmouth Park Racetrack is a sports gamblers' paradise-in-waiting. All that's standing in its way: a 25-year-old federal law that bars betting on sport..."
"172","A key House committee on Wednesday approved a Republican bill to expand gun owners' rights &#8212; the first gun legislation since mass shootings in Las Vegas and Texas killed more than 80 people."
"173","Senate Republicans’ tax cut would not pay for itself, according to a new report by the nonpartisan Joint Committee on Taxation."
"174","This is a very bad year."
"175","The Trump administration’s proposed deep budget cuts to the State Department and failure to fill key diplomatic posts threaten the country’s security."
"176","Janet L. Yellen, the Federal Reserve chairwoman, told Congress that economic growth broadened in recent months, but could be doing better."
"177","Conservative and liberal U.S. Supreme Court justices on Tuesday appeared reluctant to broaden protections for corporate insiders who blow the whistle on securities law violations or fraud by their companies."
"178","At a Supreme Court argument on Tuesday, the justices focused on a narrow definition of “whistle-blower” in the Dodd-Frank Act."
"179","Fight for the Future, a scrappy 10-person nonprofit, has helped lead the uproar against changes to internet rules, including hundreds of protests on Thursday."
"180","The Latest on sexual misconduct allegations against Rep. John Conyers (all times local):"
"181","More than three months after Hurricane Harvey walloped Texas, many affected residents say they're still not getting help they need and President Donald Trump is getting low marks for his handling of the disaster, according to a Kaiser Family Found..."
"182","President Donald Trump endorsed U.S. Senate candidate Roy Moore on Monday, throwing his weight behind the embattled Alabama Republican before a special election next week that has been rocked by allegations of sexual misconduct against Moore."
"183","Readers worry about their taxes rising so the wealthy can pay less. One calls on Democrats to not just denounce the G.O.P. plan but offer their own."
"184","Germany's center-left Social Democrats agreed Thursday to open talks with Chancellor Angela Merkel's conservatives on whether to renew their governing coalition or at least to support a minority government."
"185","Less than 24 hours after Donald Trump took office, his presidency started generating controversy. "
"186","Surging stock prices and steady increases in home values powered American household wealth to $96.9 trillion this fall, The Federal Reserve said Thursday. The gains, however, aren't widely shared."
"187","Robert S. Mueller III, the special counsel investigating the Trump campaign’s ties to Russia, spent almost $7 million in its first four and a half months, he said."
"188","Judges have been asked repeatedly to decide whether the lawmakers in charge of drawing congressional district lines have gone too far to favor their parties."
"189","South Africa's ruling African National Congress (ANC) is doing everything possible to avoid a split in the party after elections for a new leader this month, a senior official running for the top job said on Wednesday."
"190","President Donald Trump's weekend remark about a scaled-back tax cut for corporations sparked behind-the-scenes debate in the U.S. Congress, with a White House aide trying on Thursday to minimize the impact of the president's comment."
"191","Stand by him now, stay linked to him forever."
"192","U.S. Supreme Court justices expressed skepticism on Monday over whether ancient Persian artifacts held in a Chicago museum can be seized to pay for a $71 million court judgment against Iran won by several Americans injured in a 1997 Jerusalem bomb..."
"193","Members of the anti-immigrant Alternative for Germany (AfD) party elected a right-wing nationalist to be their co-leader on Saturday, signaling a possible toughening of tone before regional votes next year."
"194","Violent clashes between rival factions in Yemen's rebel-held capital continued Saturday for the fourth straight day as forces loyal to a former president and Iran-backed Shiite rebels known as Houthis faced off in the streets of Sanaa, signaling d..."
"195","The sweeping tax overhaul that passed the U.S. Senate on Saturday contains the Republicans' biggest blow yet to former President Barack Obama's healthcare law, repealing the requirement that all Americans obtain health insurance."
"196","The U.S. House of Representatives ethics committee has begun a sweeping probe into possible sexual harassment and discrimination by the chamber's 434 lawmakers and their staff, requesting on Friday a wide range of documents from the congressional ..."
"197","Members of Venezuela's leftist government and opposition coalition began a new round of talks in the Dominican Republic on Friday aimed at resolving the OPEC nation's long-running and often bloody political standoff."
"198","Peter Baker’s “Obama: The Call of History” is a tribute to a man and an office."
"199","Sen. Al Franken of Minnesota announced on Thursday that he will resign in the face of multiple allegations of sexual misconduct. He joins a long list of lawmakers ousted by scandal."
"200","A prominent Chinese general under investigation for corruption has committed suicide, state media said on Tuesday, the latest development in a sweeping anti-graft campaign that has shaken the armed forces."
"201","U.S. Democratic Representative Luis Gutierrez, who has announced he will not seek re-election to Congress in 2018, said on Wednesday he wanted to concentrate his energies ""on the national level"" and indicated he might be interested in a presidenti..."
"202","A Republican congressman from Florida said Tuesday he won't support a year-end spending measure unless Congress passes a solution for immigrants brought into the country illegally as children."
"203","A group of bipartisan lawmakers introduced legislation Tuesday to combat online sexual exploitation, just a week after the leak on social media of an explicit photo of a Republican congressman from Texas."
"204","The pace at which China is announcing deleveraging reforms has taken markets by surprise. [L3N1NX2J7] Below is a list of its most significant moves:"
"205","South African Deputy President Cyril Ramaphosa has received the most nominations for leader of the ruling African National Congress (ANC) ahead of a party vote this month, voting data from the country's nine provinces show."
"206","More than half the ballots cast in Bolivia's judicial elections on Sunday were spoiled, or nullified, by voters, a sign that the opposition said showed dwindling support for President Evo Morales."
"207","Minnesota's biennial budget faces a deficit for the first time since 2013 as state revenue is expected to fall while expenditures climb, according to a forecast released on Tuesday."
"208","South Africa and Morocco will resume diplomatic ties more than a decade after Morocco withdrew its ambassador from Pretoria, South African President Jacob Zuma said in a newspaper interview published on Sunday."
"209","Russian lawmakers are to discuss a proposal to bar representatives of U.S. media organizations from accessing the lower house of parliament, RIA news agency quoted the chair of one of the chamber's committees as saying."
"210","Mr. Ford, a former congressman turned Wall Street rainmaker, was terminated by the financial services firm for behavior it said was “inconsistent with our values and in violation of our policies.”"
"211","The U.S. House of Representatives voted on Tuesday to sharply reduce the annual $300 million in U.S. aid to the Palestinian Authority unless it take steps to stop making what lawmakers described as payments that reward violent crime."
"212","The Supreme Court declined to hear a lawsuit filed by minor league baseball players accusing Major League Baseball of colluding to suppress wages, leaving intact a District Court ruling that dismissed the case."
"213","A group of 34 House Republicans on Tuesday asked Speaker Paul Ryan to act this month on legislation dealing with the 800,000 young immigrants brought to the United States as children and living here illegally."
"214","Financial markets quarterly trading revenue at JPMorgan Chase &amp; Co is running about 15 percent lower than a year earlier, Chief Financial Officer Marianne Lake said on Tuesday at an investor conference."
"215","The question of whether U.S. Representative John Conyers may resign in the face of sexual harassment allegations will be addressed in the ""next day or so,"" an attorney for the congressman said on Friday."
