"","location"
"113","President Donald Trump's move to recognize the divided city of Jerusalem as Israel's capital may have triggered a worldwide chorus of critics but the president had his ears closely tuned to his supporters at home."
"114","President Donald Trump will recognize Jerusalem as Israel's capital on Wednesday despite intense Arab, Muslim and European opposition to a move that would upend decades of U.S. policy and risk potentially violent protests."
"115","President Donald Trump is considering recognition of Jerusalem as Israel's capital, a move that could upend decades of American policy and ratchet up Middle East tensions, but is expected to again delay his campaign promise to move the U.S. embass..."
"116","Breaking with decades of U.S. policy, President Donald Trump on Wednesday recognized Jerusalem as Israel's capital, a declaration that set off a wave of clashes between Palestinians and Israeli forces and drew sharp criticism from U.S. allies in t..."
"117","You won't find ""Jerusalem, Israel,"" on any U.S. government maps. Ditto for documents. And despite President Donald Trump's recognition of Jerusalem as Israel's capital, you still won't."
"118","Russian President Vladimir Putin and his Turkish counterpart Tayyip Erdogan spoke by phone on Thursday and expressed serious concern about Washington's decision to recognise Jerusalem as Israel's capital, the Kremlin said on Thursday."
"119","Lebanon's Hezbollah group joined calls on Thursday for a new Palestinian uprising in response to the U.S. recognition of Jerusalem as Israel's capital."
"120","Iraq demanded on Thursday that the U.S. government backtrack on a decision to recognise Jerusalem as Israel's capital and summoned the U.S. ambassador in Baghdad to protest the decision."
"121","Turkish President Tayyip Erdogan said on Thursday that U.S. President Donald Trump's ""unfortunate"" decision to recognise Jerusalem as the capital of Israel was ""trampling on international laws""."
"122","Palestinian secular and Islamist factions on Wednesday called a general strike and midday rallies to protest U.S. President Donald Trump's announcement that he has recognized Jerusalem as Israel's capital, they said in a joint statement."
"123","Iran ""seriously condemns"" the U.S. decision to move its embassy to Jerusalem and its recognition of the city as Israel's capital, read a statement on Wednesday from the Ministry of Foreign Affairs carried by state media."
"124","The European Union's top diplomat, Federica Mogherini, said on Tuesday that ""any action that would undermine"" peace efforts to create two separate states for the Israelis and the Palestinians ""must absolutely be avoided""."
"125","An umbrella organization of Muslim countries said Monday that President Donald Trump's possible recognition of Jerusalem as Israel's capital would constitute ""naked aggression"" against the Arab and Muslim world, as the ruling Palestinian party has..."
"126","Analysts say that a war in the region is unlikely, but the escalation of tensions in a bewildering crisis involving the two Arab nations raises the risk."
"127","Malaysian Prime Minister Najib Razak called on Muslims everywhere to strongly oppose any recognition of Jerusalem as Israel's capital."
"128","Arabs and Muslims across the Middle East on Wednesday condemned the U.S. recognition of Jerusalem as Israel's capital as an incendiary move in a volatile region and Palestinians said Washington was abandoning its leading role as a peace mediator."
"129","The Turkish government's spokesman on Wednesday said that the United States' decision to recognize Jerusalem as the capital of Israel will plunge the region and the world into ""a fire with no end in sight""."
"130","A prominent Iraqi militia backed by Iran, Harakat Hezbollah al- Nujaba, said on Thursday U.S. President Donald Trump's decision to recognize Jerusalem as Israel's capital could become a ""legitimate reason"" to attack U.S. forces in Iraq."
"131","The United States is asking Israel to temper its response to the U.S. recognition of Jerusalem as its capital because Washington expects a backlash and is weighing the potential threat to U.S. facilities and people, according to a State Department..."
"132","The kingdom of Saudi Arabia on Thursday condemned the decision by U.S. President Donald Trump to recognize Jerusalem as the capital of Israel. "
"133","The U.S. Consulate in Jerusalem instructed employees on Tuesday to stay away from the occupied West Bank and parts of Jerusalem after President Donald Trump told Middle East leaders he planned to move the U.S. Embassy in Israel to the holy city. "
"134","Pope Francis, speaking hours before U.S. President Donald Trump's announcement on Jerusalem, called on Wednesday for the city's ""status quo"" to be respected, saying new tension in the Middle East would further inflame world conflicts."
"135","Russian President Vladimir Putin phoned Palestinian President Mahmoud Abbas on Tuesday to tell him Moscow backs a resumption of talks between Israel and Palestinian authorities, including on the status of Jerusalem, the Kremlin said on Tuesday."
"136","The White House said on Thursday it was not aware of any other country that planned to follow President Donald Trump's lead and recognize Jerusalem as Israel's capital."
"137","Arabs and Muslims across the Middle East on Wednesday condemned the U.S. recognition of Jerusalem as Israel's capital as an incendiary move in a volatile region and Palestinians said Washington was abandoning its leading role as a peace mediator."
"138","Saudi Arabia said on Monday any U.S. announcement on the status of Jerusalem before a final settlement is reached in the Israeli-Palestinian conflict would hurt the peace process and heighten regional tensions."
"139","Here’s what you need to know at the end of the day."
"140","Israeli Prime Minister Benjamin Netanyahu did not comment on the planned U.S. recognition of Jerusalem as Israel's capital on Wednesday during his first public remarks since the White House confirmed the new policy."
"141","Jordan's King Abdullah told U.S. President Donald Trump on Tuesday that any move by the United States to declare Jerusalem the capital of Israel would have ""dangerous repercussions"" for regional stability, a Jordanian palace statement said."
"142","The decision by the United States to recognize Jerusalem as the capital of Israel risks aggravating the Israeli-Palestinian conflict, Russia's foreign ministry said on Thursday, while calling on all sides involved to show restraint."
"143","A prominent Iraqi militia backed by Iran, Harakat Hezbollah al- Nujaba, said on Thursday U.S. President Donald Trump's decision to recognise Jerusalem as Israel's capital could become a ""legitimate reason"" to attack U.S. forces in Iraq."
"144","An intense and sustained push by U.S. evangelicals helped drive President Donald Trump&#8217;s decision to recognize Jerusalem as Israel&#8217;s capital and eventually relocate the U.S. embassy there, activists said on Wednesday. "
"145","Israeli Prime Minister Benjamin Netanyahu did not comment on the planned U.S. recognition of Jerusalem as Israel's capital on Wednesday during his first public remarks since the White House confirmed the new policy."
"146","Jordan plans to convene emergency meetings of the Arab League and Organisation of Islamic Cooperation next Saturday and Sunday on how to face the ""dangerous"" consequences of U.S. President Donald Trump's decision to move Washington's embassy in Is..."
"147","President Donald Trump is likely to announce next week that the United States recognizes Jerusalem as Israel's capital, a senior administration official said on Friday, a move that would upend decades of American policy and possibly inflame tensio..."
"148","U.S. President Donald Trump has not yet made a decision on whether to formally recognize Jerusalem as Israel's capital, his adviser and son-in-law Jared Kushner said on Sunday, a move that would break with decades of U.S. policy and could fuel vio..."
"149","Any move by the United States to recognize Jerusalem as Israel's capital would fuel extremism and violence, Arab League Secretary-General Ahmed Aboul Gheit said on Saturday."
"150","President Donald Trump is actively considering ""when and how"" to move the U.S. Embassy in Israel to Jerusalem, Vice President Mike Pence said on Tuesday."
"151","Russia will criticize U.S. President Donald Trump's recognition of Jerusalem as the capital of Israel in the United Nations Security Council, the RIA news agency cited Russian Deputy Foreign Minister Gennady Gatilov as saying on Thursday."
"152","How will the president’s announcement affect the Middle East?"
"153","The kingdom of Saudi Arabia on Thursday condemned the decision by U.S. President Donald Trump to recognize Jerusalem as the capital of Israel. "
"154","Protests broke out on Wednesday in areas of Jordan's capital Amman inhabited by Palestinian refugees in response to U.S. President Donald Trump's recognition of Jerusalem as Israel's capital, witnesses said."
"155","Influential exiled Palestinian politician Mohammed Dahlan said on Wednesday Palestinians should reject any future peace talks and halt security coordination with Israel over U.S. plans to move its embassy in Israel to Jerusalem."
"156","British Prime Minister Theresa May disagrees with the U.S. decision to recognize Jerusalem as the capital of Israel because it is unlikely to help efforts to bring peace to the region, her spokesman said on Wednesday. "
"157","Israel's mayor of Jerusalem Nir Barkat said on Tuesday that moving the U.S. Embassy in Israel from Tel Aviv to the holy city can take ""two minutes""."
"158","Malaysian Prime Minister Najib Razak called on Muslims worldwide to strongly oppose any recognition of Jerusalem as Israel's capital, as he rallied his party ahead of a tough election due next year."
"159","British Prime Minister Theresa May said she intended to speak to U.S. President Donald Trump about the status of Jerusalem, which she said should be determined as part of a settlement between Israel and the Palestinians."
"160","The Kremlin said on Wednesday that Russia was concerned that the conflict between Israel and the Palestinian authorities could be aggravated further by U.S. President Donald Trump's plans to move the U.S. Embassy in Israel to Jerusalem."
"161","Iraqi Prime Minister Haider al-Abadi said on Tuesday that his government is opposed to U.S. President Donald Trump possibly moving the United States embassy in Israel to Jerusalem and warned of such a decision's ramifications."
"162","Arab League Secretary General Ahmed Aboul Gheit said on Tuesday that the United States should not take any measures that would alter Jerusalem's legal and political status, Egypt's state news agency MENA reported."
"163","A formal U.S. recognition of Jerusalem as the capital of Israel would be the ""kiss of death"" to the two-state solution to the Israeli-Palestinian conflict, the Palestine Liberation Organization's chief representative in Washington said on Monday."
"164","Chancellor Angela Merkel said on Thursday that Germany would stand by U.N. resolutions on the Israel-Palestinian conflict after U.S. President Donald Trump decided to recognize Jerusalem as the capital of Israel."
"165","The possibility that U.S. President Donald Trump may recognize Jerusalem as Israel's capital has stirred opposition from U.S. and foreign officials who fear it could unleash violence."
"166","President Donald Trump will not announce a decision on Monday on whether he will again delay moving the U.S. embassy in Israel to Jerusalem, a White House spokesman said, despite Monday's deadline for doing so."
"167","Iraq demanded on Thursday that the U.S. government backtrack on a decision to recognize Jerusalem as Israel's capital to avoid fuelling terrorism, and a prominent Iraqi militia said the decision was a reason to attack U.S. troops."
"168","Arabs and Muslims across the Middle East on Wednesday condemned the U.S. recognition of Jerusalem as Israel's capital as an incendiary move in a volatile region and Palestinians said Washington was abandoning its leading role as a peace mediator."
"169","President Donald Trump on Wednesday will deliver remarks about his decision on whether to move the U.S. embassy in Israel to Jerusalem from Tel Aviv, White House Press Secretary Sarah Saders said on Tuesday, adding that Trump is pretty solid in hi..."
"170","Saudi King Salman told U.S. President Donald Trump that any decision to move the U.S. Embassy in Israel to Jerusalem before a permanent peace settlement is reached will inflame the feelings of Muslims, Saudi state-owned media said on Tuesday."
"171","The United States is asking Israel to temper its response to the U.S. recognition of Jerusalem as its capital because Washington expects a backlash and is weighing the potential threat to U.S. facilities and people, according to a State Department..."
"172","Morocco summoned the U.S. charge d'affaires to express its deep concern over the U.S. decision to recognize Jerusalem as Israel's capital, state news agency MAP said on Wednesday."
"173","U.S. President Donald Trump informed Palestinian President Mahmolud Abbas on Tuesday that he intends to move the U.S. Embassy to Jerusalem, Abbas's spokesman said."
"174","Mortar under a slab at the heart of Jerusalem's Church of the Holy Sepulchre dates to the era of Roman Emperor Constantine, confirming historical accounts of the discovery of the place where Christians believe Jesus was entombed, researchers say."
"175","The United States has primed a bomb in the Middle East with its decision to recognize Jerusalem as Israel's capital, Turkish Prime Minister Binali Yildirim said on Thursday."
"176","Egypt rejected the U.S. decision to move its embassy to Jerusalem, the foreign ministry said on Wednesday."
"177","Palestinian President Mahmoud Abbas said on Wednesday that Jerusalem was the ""eternal capital of the State of Palestine"" in response to U.S. President Donald Trump's announcement that he was recognizing the city as Israel's capital. "
"178","President Donald Trump on Wednesday will recognize Jerusalem as Israel's capital and set in motion the relocation of the U.S. Embassy to the ancient city, senior U.S. officials said, a decision that upends decades of U.S. policy and risks fueling ..."
"179","The assault, in an area racked by an Islamist insurgency, sent shock waves across the nation — not only for the death toll but also for the choice of target."
"180","A series of odd events in the Middle East have analysts and diplomats wondering if they are connected, and whether they are a prelude to war."
"181","The U.S. State Department issued a cable to all its diplomatic posts worldwide on Wednesday asking its officials to defer non-essential travel to Israel, Jerusalem and the West Bank until Dec. 20 according to a copy of the cable seen by Reuters."
"182","Egyptian President Abdel Fattah al-Sisi told U.S. President Donald Trump on Tuesday there was no need to ""complicate"" matters in the Middle East after Trump phoned him to talk about his decision to move the U.S. Embassy in Israel to Jerusalem, a C..."
"183","An Israeli siren phone application sounded that rockets were fired at Israel at various locations near the Gaza Strip on Thursday but there was no initial confirmation of any hits in Israel, the military said."
"184","Turkish President Tayyip Erdogan and Pope Francis agreed in a phone call on Thursday that any attempts to change Jerusalem's status should be avoided, sources in Erdogan's office said."
"185","Israel hailed U.S. President Donald Trump's recognition of Jerusalem as its capital on Wednesday, but the Palestinians condemned the move and said it diminished Washington's role as a peace mediator."
"186","Israel hailed U.S. President Donald Trump's recognition of Jerusalem as its capital on Wednesday, but the Palestinians condemned the move and said it diminished Washington's role as a peace mediator."
"187","Lebanon's President Michel Aoun said on Wednesday that U.S. President Donald Trump's Jerusalem decision was dangerous and threatened the credibility of the United States as a broker of the peace process in the region. "
"188","Palestinian President Mahmoud Abbas on Tuesday urged the Pope and the leaders of Russia, France and Jordan to intervene against Trump's declared intention to move the U.S. Embassy in Israel to Jerusalem, Abbas's spokesman said."
"189","Palestinian President Mahmoud Abbas on Tuesday urged the Pope and the leaders of Russia, France and Jordan to intervene against Trump's declared intention to move the U.S. Embassy in Israel to Jerusalem, Abbas's spokesman said."
"190","Israel is expanding ties throughout the Middle East but not with Iran, Prime Minister Benjamin Netanyahu said on Wednesday, accusing his country's arch-foe of trying to dominate the region."
"191","Saudi Arabia's King Salman discussed the ""most prominent developments"" in the region in a telephone call from the Turkish president, the Saudi state news agency reported, after President Donald Trump announced the U.S. Embassy in Israel would be m..."
"192","Mexico's foreign ministry said on Wednesday that it will keep its Israeli embassy in Tel Aviv, following U.S. President Donald Trump's decision to move the nation's embassy to Jerusalem. "
"193","China expressed concern on Wednesday about U.S. President Donald Trump's reported intention to recognize Jerusalem as Israel's capital and relocate the U.S. Embassy to the ancient city, saying it could spark new hostility."
"194","The Latest on President Donald Trump's expected recognition of Jerusalem as Israel's capital on Wednesday (all times local):"
"195","President Donald Trump was speaking on Tuesday with a number of Middle East leaders, the White House said, in advance of his expected announcement about the U.S. embassy in Israel."
"196","President Donald Trump has not yet decided whether to recognize Jerusalem as Israel's capital or whether to proceed immediately in moving the U.S. Embassy from Tel Aviv to the holy city. That's according to his son-in-law and senior adviser Jared ..."
"197","The Israeli military has begun demolishing an illegally-built carpentry workshop in a West Bank settlement as dozens of Jewish settlers are rallying against the move."
"198","At least 31 people were wounded by Israeli army gunfire and rubber bullets, medics said, in Palestinian protests in the occupied West Bank and the Gaza Strip on Thursday after the United States recognized Jerusalem as Israel's capital."
"199","The powerful Palestinian Islamist group Hamas called on Thursday for a new uprising against Israel after U.S. President Donald Trump's recognition of Jerusalem as the Israeli capital."
"200","The powerful Lebanese group Hezbollah said on Thursday it supported calls for a new Palestinian uprising in response to the U.S. decision to recognise Jerusalem as the capital of Israel and urged support for ""resistance"" against the move."
"201","Egypt's President Abdel Fattah al-Sisi received a phone call from Palestinian President Mahmoud Abbas to discuss the repercussions of the U.S. decision to move its embassy to Jerusalem, a statement from the Egyptian presidency said on Wednesday. "
"202","Palestinian Islamist group Hamas said U.S. President Donald Trump's recognition of Jerusalem as Israel's capital and decision to move the U.S. embassy to the city was a ""flagrant aggression against the Palestinian people""."
"203","Palestinians switched off Christmas lights at Jesus' traditional birthplace in Bethlehem on Wednesday night in protest at U.S. President Donald Trump's decision to recognize Jerusalem as Israel's capital."
