"","tweet"
"41","Another pair: of my favourite heels,i love these pink heeled mules _ Adelaide: We've went out on a date before and /XiK7FK1pwI"
"42","RT @OfficialTBBabes: $VIDA was like....@BIGMONEYMIKE6 /EB1xYQBgR4"
"43","RT @TrillManny__02: Snowing in Texas this is beautiful why not get some quick flicks  /I6XxLQxAXB"
"44","RT @AnneMarieIAm: Faith restored /LSmH8DiNWG"
"45","Exploring your feelings opens new paths for self-discovery tod... More for Taurus /MhfJ8zIN6c"
"46","g-eazy is shit af"
"47","@PUBATTLEGROUNDS Why you gotta do me like that man"
"48","RT @namangill04: people hella change up on you in high school :/"
"49","RT @realDonaldTrump: I fulfilled my campaign promise - others didnt! /bYdaOHmPVJ"
"50","RT @TheSongMsgs: ""Sometimes I hate every single stupid word you say. Sometimes I wanna slap you in your whole face"" - Pink"
"51","Whatever you didnt say yesterday is todays fuel for the fire... More for Capricorn /7AxTQ29skE"
"52","RT @IBJIYONGI: If its the case that this is all about us then @Patreon can stop it because we dont agree that it is. /UAvaHYA"
"53","RT @shirou_yuki: This pic is 1 year old already Happy Anniversary to YOI ep 10 !!!!! /UeL2AN9nsC"
"54","RT @tastykth: damn taehyung how the fuck ?! Like.. ok im speechless. Wowcredits /g6AGQvmTPg"
"55","RT @thegrandtour: #TheGrandTour Season 2 launches on 8 December. /gPKiCq9e7I"
"56","RT @TheDailyShow: This is sherioush, people. #DentureDonald Watch: /IWsrHI2XoT"
"57","RT @Jackopayne1: Shambles  /CqGPSvriY8"
"58","am i rlly that bad at keeping up... why is seungri in manila "
"59","@annietrev Nice to see the Government heading towards a semi  soft Brexit and certain people towards humiliation. /oKfsUbgKOF"
"60","I added a video to a @YouTube playlist /dtnCM3R8vY Gifs With Sound #89"
"61","RT @fluffybasil: @leo_thetabby @BenjiCoolCat @hugo4de @RoxyRoxLA @Holts05 @paseri021 @marv_kempleton @pawshathecat @PatchesSeesAll @Angelad"
"62","You on holiday in Bali I take it  /Tp3veW0NxB"
"63","RT @Knexus: #DidYouKnow  Consumers who include #socialmedia in their shopping process are four times more likely to spend more money on pur"
"64","@_kEEbiE14 She gone say the same thing"
"65","RT @lolita_a1109: blue  black  /bgJ1kyGOjF"
"66","When you dont see a friend on the TL for a while /oU9WcuH86W"
"67","RT @EastEnderrs: Well tonights episode was incredible! I feel like #EastEnders is finally back on track"
"68","RT @xrowda: a kiss after a long eye contact"
"69","RT @kpopalbumsales: Gaon Album Monthly Chart - Month of NOV1. WANNA ONE #NothingWithoutYou 2. SEVENTEEN 3. SJ4. MONSTA X5. RV6. Hwang"
"70","So many happenings "
"71","RT @ufobri: me when my whole tl is talking about kpop /bYzsGK8sQD"
"72","RT @zlando: I am being asked by many Arab/Muslims, and this is my answer: I am NOT against you! But I fought &amp;amp; will fight Arab/ https:"
"73","@AXE_SA @RealBlackCoffee Magic definitely runs in the family o have to nominate my brother @NathierSydow!  /CRG3qAI2C1"
"74","RT @angrySHOPkeeper: Bad Boy Mugs Available @/QDmHlvjhLM"
"75","RT @lindakDprof: Ian Paterson: Independent inquiry into breast surgeon. Glad to see this. A good start but so much more needs to be done fo"
"76","RT @patcondell: The flags are out again. Ive been notified by Twitters political censors that this tweet about the UK polices twisted pr"
"77","RT @BTS_ARMY_INT: The BTS with Seoul official mv is going to come out on the 13th, if I see any reuploads they're getting reported...it's a"
"78","RT @gitlab: How do you balance work and personal projects? We're interested in learning more! Developers: Do you have a technical side"
"79","Thanks again to everyone who came to our Annual #Association lots of ideas shared &amp; great optimism for the sector i /QEawUFeuDe"
"80","RT @Iemonsoup: look at the stars look how they shine for you  /JwQjRYmZGb"
"81","RT @yellowpopcorn11: PRISTIN- CHUNGHA Why Dont You Know /355xaoNjQv"
"82","RT @furihata_ai: CLUB"
"83","RT @1amLust: What i do when i am alone.1. Overthinking2. Listen to music 3. Read old texts 4. Thinking about life 5. Sleeping"
"84","RT @UnorthodoxTito: This what happens when money enters my bank account /UZIMlp4ruF"
"85","RT @LifeWithSelG: Omg shes so beautiful.  /oj6gFfyrXf"
"86","RT @Eminem: NEW SONG + ALBUM PREORDER #UNTOUCHABLE #REVIVAL: /2VfgKaqcUH"
"87","@ibadaan Yho kunzima lol"
"88","Dragged myself out of bed in Antarctica worthy weather at stupid o clock then decided against going into uni, dno w /HosbDALh4C"
"89","@Newsweek WTF are they not real people???"
"90","I dont really need to look very much further."
"91","Swedish Government To Ban Websites that List Ethnic Origin Of Criminal Suspects /dTM0ydyx76"
"92","RT @linibobini: really, you too?"
"93","Facebook Instant Games gets live-streams so you can show off your skills: Facebook is /x1KaLyv5BC"
"94","RT @HAGOODMANAUTHOR: I'm not even saying Israel isn't at fault for a lot of the conflict. I'm saying at least progressives should address t"
"95","RT @damnthatslyn: all of my niggas on go, none of my niggas on hoe."
"96","RT @btsportfootball:  Take a bow, Branislav Ivanovic The former Chelsea man with a stunning overhead kick for Roberto Mancini's Zenit "
"97","RT @RealJamesWoods: This is so delightful to watch now. #JusticeGorsuch is a truly magnificent American and will continue to serve our grea"
"98","So there's Bambiala Twitter?Where do you people get these names from?"
"99","RT @JerryFalwellJr: Other presidents have supported recognizing Jerusalem as the capital of Israel.  Only @realDonaldTrump @POTUS had the g"
"100","@BrazisM @MrChrisEllis Hi :) Thank you for your advise! Do you know the Way to let bitfinex  Deactivate my 2FA? I t /RmFC5HZ719"
"101","@TomSBristow @CRRosenstiel @Puffles2010 @NAOorguk @YourLEP @CambridgeNewsUK @johnelworthy Strikes me this is some T /8ccm82gyV8"
"102","Yall not tired of being shone?"
"103","RT @elqorts: omfg i cant even go on a date with lena bc i dont have enough gems gonna kill myself /XfWaCBbHXK"
"104","RT @TrueTashan: Hes a child predator. He says the n word but hes not black. His music sucks. Stop promoting this dude. Dont buy or strea"
"105","For Sale: 18 St Peters Street, Aberdeen, 109995 /qRpQDMzrw7"
"106","watching this until i pass out there isnt a better proposal out there /zw65UuH7q7"
"107","@msjacckson that was on his second album that came out in 2008 ""The Renaissance"" it was kind of generic to me the o /xTyp0ByCuB"
"108","RT @MaxBoot: Mueller fires an FBI agent who showed bias against Trump...and he gets accused of bias against Trump. This is not a good-faith"
"109","RT @jonathanmartinz: California. /kJWQWtkMaN"
"110","RT @jhopesgalaxy: the last time hoseok will say lets sing it together when hes asking armys to join him in the end of his mama performan"
"111","RT @FinancialReview: Here is @roweafr take on the banking royal commission. For more: "
"112","RT @SteveD4848: And she is giving the EU billions only to find that we will not be leaving the European Union! This woman is a bigger liar"
"113","this girl came into my job with her friend and asked me to match foundation for her &amp; i swear to god, she kept tryi /OmHv7WrtkV"
"114","RT @PjSplash: Ive learned to accept people for who they are and also not fuck with them for that same reason"
"115","This slapping already #DOUBLEORNOTHING  #BigSean #MetroBoomin /0R1xGCDWee"
"116","@urbancanopyuk Thanks for following "
"117","@Tyto__ Or was it u were drunk and someone was steaming I DNT RMBR"
"118","Up eating moon pies"
"119","RT @Tsholofelo_le: You know the worst part about visiting someones home is waking up in the morning and not knowing what to do, eat, bath,"
"120","RT @Sgt__S: Right, I've got a team to lead in a few short hours. I'm going to have slip into the hands of Morpheus. Those working, crack on"
"121","RT @TrueTashan: Hes a child predator. He says the n word but hes not black. His music sucks. Stop promoting this dude. Dont buy or strea"
"122","RT @ClifSupreme: *Plays first song off this new @BigSean &amp; @MetroBoomin* /FvNIx8nXBg"
"123","RT @n1naad: Ballon d'Or Credibility Graph according to Barka Fans. /eL3Bym5l46"
"124","I do that anyway I dont follow directions lol /LBkJ7ECApP"
"125","RT @gst183: A tale of two worlds -  /6CjdXTNs8v @nonvitaltooth @_chuad @skumar176 @lowelsielow54 @2sayornot2say @billtay25 @cho"
"126","RT @RabinHarduth: In the entertainment industry - we've been thinking in gigs forever  ... ;) /JGZMzGKq0A"
"127","RT @Shalini_Sajjan: I vote Nakuul Mehta for Ishqbaaaz #TVPersonality2017 @BizAsia @SabrasRadio #Ishqbaaaz u can tweet this along with you"
"128","RT @Exupery_gab: @honeyleevill Everyone who has been in d admin GCs before &amp; after MM's bday will attest, that it was senyora herself who p"
"129","I don't want a lot for ChristmasThere is just one thing I needI don't care about the presentsUnderneath the Chri /u7BExGTBLJ"
"130","The red box said2017/12/8 (Y/M/D) 6.00 KST - 12/14 (M/D)I guess its a schedule for that time period? /eU4hoSZcGU"
"131","RT @EXOKMKR: Notice Of Complaint On EXO Homepage.  @SMTOWNGLOBAL /VFB7Dq81OF"
"132","RT @mikeymuzik: What the hell is going on?? RT! RT! /jiSvPdcfLR"
"133","RT @Choudharychinky: @NakuulSquad HAPPY FRIDAY Tweeples... @NakuulMehta ......#NakuulsFanArtFriday@NakuulSquad /eZPj5"
"134","The authorities are secretly killing thousands of dogs! /TTxzsh0ui9 via @network4animals"
"135","How a Killer Massacred an Entire Family on a Fishing Boat in Alaska  and Was Never Caught /rBJYvpN726"
"136","RT @Baekyeoliee: WOAAAH BAEKHYUN IS SUCH A GOOD SWIMMER!!!! /4s1BkKK8lU"
"137","RT @AlexHortonTX: A person briefed on Erik Princes plan to privatize the forever war: ""His heart's in the right place. The problem is that"
"138","RT @fizzer18: I would if I could Reece /oztYvmraK9"
"139","RT @DnewSite: CONSERVATIVE IN THE HOUSE... improv house party live at /QTE7"
"140","RT @NicolaSturgeon: An aside - a UK government that is able to say that come what may, it will avoid hard borders with Ireland/NI after Bre"
"141","RT @SilverVVulpes: so what you are saying is, Century Fox is now Disneywhich means the Alien franchise is now Disneywhich means Xenomor"
"142","RT @_EatBulaga: 8 Dec 2017Let's celebrate @aldenrichards02 's 7th year in showbiz with this HT! #7thALDENniversary /Wh3oxpx"
"143","@kawoorus HI IM THE BIGGEST AMZ FAN"
"144","RT @Sunkiss_flower: hi sunshine, enjoy some sunflowers  /nRlHD99XAN"
"145","Are those lawyers gonna investigate on how rigged the votes were ? /clRQF0l1zY"
"146","Much time was wasted."
"147","RT @rspcachiltern: Please can anyone help? 1 would be amazing! The link in the bio will take you to the page  /PLefqPywG6"
"148","RT @googleeurope: Delighted and humbled that the Android developer scholarships were offering with @udacity and @Bertelsmann_com have been"
"149","RT @spacejermz: This took me 10 tries /kxXU9fzyhU"
"150","RT @Leezy_365: I fuckingggggggggggg refuse to be unhappy in 2018, idc who gotta go"
"151","So Im opening Snapchats of all the snow back in England and here in Switzerland there isnt so much as a flake is /au9RZs4jTV"
"152","@bancouver He's DJing NYE at the Bungalow and we have a sweepstakes to check it out VIP style if you join or renew /HilKXOXVpl"
"153","RT @BoschFawstin: I self-identify as an individual human being."
"154","RT @Madam_Deja: I prayed about you and God reveled to me who you are..."
"155","@FastandUp_India @FastandUp_India waiting"
"156","RT @dodo: #ICYMI a woman fell in love with this stray cat from a viral story  and hopped on plane to save her  /XChhnM5mJ0 ht"
"157","RT @Peter_Fox59: Wilson paid child sex abuse victims family a cheque from his own savings /CTBLx1cft6"
"158","RT @naaadmd: The line for merch already started [it started about 3 hours ago] #WingsFinal #WingsFinalInSeoul #BTS # /O6ZC"
"159","RT @AlishaPRETTYbad: When you ask daddy ""wyd tonight?"" &amp; he says ""you...."" !!!! /ngliC1Jpyp"
"160","RT @Monstercat: Voting is ovah! Thanks to all you awesome fans for voting, and to all our artists for giving everyone such incredible songs"
"161","RT @OH_mes: SM Entertainment confirms EXO's Special Winter Album will be released on December 21/MMOC"
"162","RT @IntThings: Never be afraid to try something new, because life gets boring when you stay within the limits of what you already knew"
"163","DENLE RT A ESTO PLEASEEE /KAUHiyvB18"
"164","I thought my battles with @MTNza are over, here we go again! What level of rubbish is this mara?"
"165","RT @mulderitspri: scully: why do you operate so well with your hands cuffed behind your back?mulder: as if you didnt knowme: https://t"
"166","THEY WILL NEVER GRIND US DOWN"
"167","RT @VINTERINE: this looks like it was taken at a fun 90's sleepover for girls only. I want to attend /m9sk1zVxAH"
"168","RT @bangtanbabe7: Spring day my absolute queen /QdwOSfZaU0"
"169","RT @JeffMerkley: Enough is enough. @MooreSenate should drop out of the Alabama Senate race right now. @realDonaldTrump should also resign w"
"170","RT @mongrelitta: College sucks because 1) I'm stupid and I have to compete with everyone else in my major who's way more motivated and smar"
"171","My header "
"172","The Malindi Film Festival is CS Kazungus dream for the creativity in the Coast.  @KibetBenard_   @InfoKfcb #MalindiFilmsKFCBTour"
"173","@damnitdolann I GUESS BC I DIDNT KNOW YOU ACTUWLLY CAN"
"174","RT @tinytwink: There shall not be a happier Elf in the whole of Manchester tomorrow.Kill me now. /vNg31fPq0i"
"175","RT @shknhrdy: we muslims, are not terrorist. were only trying to protect the holy city, Jerusalem that has been the capital of Palestine s"
"176","RT @FinancialTimes: fastFT: Issues to be resolved devil in the detail: Key reactions to deal on Brexit progress /QUpGRQ0ddP"
"177","@EXY_S2 my queens"
"178","RT @Kawaii__Kelsey: Hey @CentreBell @evenko Did I just hear @BTS_twt, @steveaoki and @LifeOfDesiigner 's Mic Drop Remix playing during the"
"179","Im fuckin hilarious idc what anyone says. Shoutout to me"
"180","@mishasfiles Cute &lt;3 :D"
"181","One person. Thousand feelings.#McLisseMovie2018 /RoBWjBWh0n"
"182","RT @PureMind__: On Saturday the 9th @ OJOTA, 8.00amLet us rise up with a greater readiness. Let us stand with a greater determination. Uni"
"183","RT @blacktowhitenet: Black Cock Fills her married pussy so good /AWv7duRvzA"
"184","Why are Fridays always freezing!"
"185","Hii Frnds /jhGTaSdanu"
"186","RT @WWE: Happy birthday to #TheLunatic @TheDeanAmbrose! /NAeSRR272Q"
"187","RT @fs0c131y: Hi @xiaomi ! Can we talk about your MiuiDaemon application?This application is monitoring among other things Bluetooth, boo"
"188","RT @truman_pink1: seungcheol finally has dark hair color again, his hair has been through a lot.... like a lot... and it really suits him!"
"189","Unprecedented,  pl look at the roof top crowd too. /IErdYwzehP"
"190","F-r-i-e-n-d-s /bZNMZzHM8S"
"191","President of Estonia @KerstiKaljulaid giving the opening speech at #sTARTUpDay 2017 #startupdayfest #investment /b9enrPgq4W"
"192","RT @lsdvibez: true self-analysis is the greatest art of progress /IDvKYZjap3"
"193","RT @USSOCOM: Talibans Red Unit commander in Helmand province, Mullah Shah Wali, aka Haji Nasir, was killed in a kinetic strike in Musa Q"
"194","RT @YourFavvBaddie: God isolates you so you can get yourself together. It may seem like you've lost friendships and relationships but a bet"
"195","@rdohms Fantastic storytelling and art, gameplay was ""meh"". It got a bit more challenging once stepping up difficul /YkoDfB5V04"
"196","in minwoo's (boyfriend) photo, you can see sewoon clinging to gwanghyun in the back according to their sweaters /D8KduSch55"
"197","RT @jkj_twt: Look at him he's so flawless /W7vhJULLkm"
"198","No love life? No gasto! Yeeeey "
"199","RT @DestroyingClip: This bike lets you ride on water with ease. /zTwcViOfLA"
"200","@Acuriosscot @HyperboreaI at this point i'd rather treat it as a series of short movies until they actually show gameplay"
"201","RT @EnjeruMajikku:  Meet with an Angel's judgement.       Not new to character/verse     (Semi)Detailed        Friendly writer"
"202","RT @EXOnebulae: Today SM:- Mediaplayed KoKoBop being the most talked about song in the world on Twitter - Opened the pre orders for the w"
"203","RT @moviepoets: Friends with Benefits (2011) /UjTL7A728K"
"204","RT @bigballerbrand: Big Ballers make the right play  /hbLeUiiOnk"
"205","@kingofthabears @SaltyBeckys SMH I DONT KNOW ANY WOMEN!"
"206","RT @hazardoushazzza: 48. actually me tho /vlxuePoyQh"
"207","RT @loopstro: cutest leader in the world strikes again /JhoC5bb1Bm"
"208","Jacob /LyP63nEUDo"
"209","@republic @OfficeOfRG ""WHAT ABOUT THIS PHOTO  PLEASE WHICH RESEMBLES NEECH BEHAVIOR "" /JYLJsnoWvg"
"210","RT @HEELMcLean: If your boyfriend is called Ally and is walking across Dumbarton Road, I hate to tell you but hes been hit by a bus and hi"
"211","RT @Dutty_Jermz: Greatest photo combo of all time lmaoooo /jbS5coW1oj"
"212","THE HAPPIEST BABIES /mvT26RVLEg"
"213","RT @cfodiniru: Don't mortgage your future like your parents did theirs. Join the protest.  The Police torture, brutality and extortion is r"
"214","RT @meljomur: FWIW, I think fox hunting should be banned. I also happen to believe the #NamedPerson legislation will help the most vulnerab"
"215","Lowkey shit has never been for me. Idk how anybody can do that"
"216","RT @samanthayng: barai is not even a phase now its s lifestyle"
"217","RT @FreddyAmazin: Best one Ive seen  /acSJEfVZfa"
"218","RT @choiisooyyoung: SNSD's dance line is the most powerful girl group dance line. /BRfxv67PPn"
"219","RT @lebturk: my palestinian christian grandfather watched his palestinian christian neighbor get MURDERED with his own eyes for not surrend"
"220","RT @eomuk_twt: i need jin to sing a drama ost (particularly one where he acts in)"
"221","'The Daily Show' is unveiling the Trump Twitter Library | National Politics | /cZ6z2NFDwM"
"222","RT @MayyasPasha: Enter the world of extreme physics. /9mKEnldhhz #Future #Technology"
"223","RT @pcraindia: If all members of the family eat together, frequent reheating of food before serving can be avoided. This further helps to s"
"224","RT @jacvillafuerte: I will be opening a group order for EXO's Winter AlbumETA: end of JanuaryBase Price: 695 php1st payment of 695 to"
"225","RT @flowtaee: Love is kim namjoon Love is kim seokjinLove is min yongi Love is jung hoseok Love is park jimin Love is kim taehyung Lo"
"226","RT @lizziglez1: Thats your new girl  /31AzK8BbGr"
"227","RT @opnly: if someone means something to you, tell them"
"228","FIFA 13: A.C. Milan Player Faces (Full Version of Game): /Cy8Xw8MIME via @YouTube"
"229","@MattDayPhoto  Hope shes better soon "
"230","RT @k3llytweets: failing a class is not the end of the world, being broke is only temporary, your stress and anxiety will go away, everythi"
"231","RT @MortimersHole: Monty Python is becoming more accurate by the day. Britain is becoming hilarious. /GFWTAorR8o"
"232","Cute af /tDHSaZt3s5"
"233","RT @NationalistGent: War-Elephant class Radical Feminist goes berserk and attacks security gentlemen. The men laugh, further enraging the f"
"234","You are a study in contradiction today and find it challenging... More for Sagittarius /5VMrnieoD9"
"235","RT @mcflooby: @zelda85044 WE WILL MAKE PEOPLE CATCH THE GAY!"
"236","@smsupermalls I want to experience #DisneyOnIce with@soniacordero25 @prettysexymom22 @smsupermalls /VIzVqop6aR"
"237","why are you do this to meee!?!?!?"
"238","@CoopMPPinx_Sel Oooh its exciting Andrew! Im one very lucky lass .. I will be sharing my thoughts on the 13th you /Arx2qaBYeK"
"239","@Marlsclayfield Love your hometown too Marlene."
"240","Wow, veyo mittyz is giving away 28 cool kids gifts + a secret $500 Visa Gift Card #Giveaway. #CoolKidsGiveaway /9boPhNGcgm"
"241","@streesy Nice "
"242","@YESNetwork @RyanBrazier12  massive"
"243","@OfficialRezz @Oraleee_biitchh she has your body!"
"244","maybe we domaybe we dontmaybe we will maybe we wont "
"245","RT @Liqueeeeee_: I neva laughed so friggen hard yall get on my nervesss /YNNob6H7pJ"
"246","RT @Y2SHAF: thanks i needed to hear this /Xbmo2iNOgc"
"247","RT @universaluk: @KyleCiesielczuk The wait is over. Watch the trailer for Jurassic World #FallenKingdom now. /xS6OJ1hWEo"
"248","RT @ZeitgeistFilm: These people won't stop until Palestine ceases to exist and all its culture and inhabitant are gone; replaced by white,"
"249","RT @thesameeraloha: Shilpa mom: Maa ka darja dia hai to maa ki tarah rakhhoMeanwhile Shilpa Shinde as a mother already said about her kid"
"250","RT @jav_ierv: Mood /UlptARyeH2"
"251","I watched dgm hallow and caught up in the manga am I overwhelmed and emotion right now? Yes I am"
"252","RT @NintendoAmerica: The Witch comes to #NintendoSwitch! #Bayonetta 1 and 2 arrive February 16, 2018! /RhLC6WhU9K"
"253","@Roxzilla_ @VanJones68 @donlemon @angela_rye @Bruce_LeVell And has the nerve to call himself a Christian and is bac /hlkngeiCIq"
"254","RT @ha_highness: I'd like to wish the worlds most hard working female rapper @NICKIMINAJ an incredible and heavenly blessed birthday i w"
"255","RT @larealjadajanae: Love you so muchthis is only the beginning of our friendship you guys /qJSwwsdQa4"
"256","RT @allisongallaghr: It's just like that old saying; ""Do what you love for a living and the increasingly unclear distinction between your p"
"257","@Usherwood @ottocrat @FT Proper Prior Planning Prevents Piss Poor Performance"
"258","RT @billboard: Get to know rookie K-pop boy band @SF9official (exclusive) /mBGZlBNlEr"
"259","RT @ajplus: The cover photo for Time's Person of the Year has some notable absences. /iwCc2gb8mu"
"260","Cory just looked at Benny and said, you make everyone smile don't you little guy? Are you one of my best friends?Sweetest thing ever. "
"261","Dont even let me find you again @rKrumpinator  /BsdJqULsj7"
"262","You hoes just be tweetin boy lmao and ya lil followers stay gassin you cause they think they gunna get some kind of /tjj3JRuwRi"
"263","RT @_misnaa: We also got a new balloon  /a2tytQgs52"
"264","RT @brfootball: The 5 Ballons d'Or club  /AgRM5XrPwF"
"265","RT @NewshubNZ: Official briefings paint bleak picture of NZ's working poor /0GlLiBcotg"
"266","RT @anitahasnandani: Tip for the day: I hate fake lashes and so I end up using a lotttaa mascara.I lose my lashes but then thanks to castor"
"267","RT @amvetsupport: Any trump supporter who wants to argue with me about trump giving a crap about vets; save your breath today, he cut out $"
"268","Learning how to dance cumbias with my babe so he can flex on guys on the floor lol "
"269","RT @CryptoBaloo: I'm a big $XRP fan /meeZOTNGpE"
"270","Good job hero's love u guys wish oneday u guys would release my heart free hhh coz I am loving u soo much . Thanks /hyBoafbtip"
"271","RT @Hai: Life is hard, I don't remember if I showered for the day yet and then have to contemplate if I should shower or not. What a strugg"
"272","RT @caedeminthecity: Good morning @delavinkisses(seen @ abscbn studio yesterday). /sIeWytP0zj IGSHope you have a great fir"
"273","@commuterupdate Its is so cold on this coach!I really want to go to sleep but am scared I wont wake up."
"274","RT @penn_state: @LILBTHEBASEDGOD Earn your GED and you could own some @PennStateScience swag! Check out all of our science programs: https:"
"275","RT @okMute: I hate that ""so wyd"" every 5 min convo "
"276","RT @alantravis40: Family rights of EU citizens in UK seems to have been fudged. Right to bring spouse/children in who are born before Brexi"
"277","Indirect way of asking her to send you her pics. . /yIA4tRD5Ly"
"278","@Healersathome A3. A. Shilpa Shetty #RightToBeFitJoin@Venki_PM"
"279","RT @kjisolo: im so SOFT ohmygos im crying /sSgTGpGOwr"
"280","@JoviiiGirl How long you lived in Australia for?"
"281","RT @NASA: Data &amp; imagery of the California wildfires from our satellites, people in space and aircraft, not only give us a better view of t"
"282","RT @ThalaAjith_FC: This is THALA AJITH FANS for You..#Viswasam /BFLz8bbhDi"
"283","RT @UnwantedH3R0: late night stream giving skyforge one more try   /3LgrZVTz5w @Omniprodigies @J4LOrg @JerkyXP @JerrBearJXP #tw"
"284","@SuperBadRoy Boost those WIPs!"
"285","RT @SMTOWNGLOBAL: #EXO '#Kokobop' Becomes the Most Tweeted Song of 2017Thank you #EXOL #ThisHappened /3zKOZAOjUT"
"286","RT @jinjjarevil: boy if you dont /4FrQ5BJOni"
"287","RT @jungkookreally: Im.... cancelling on jungkook. Idk a jungkook. /H1kVXhHhSr"
"288","RT @Seoul_gov: #BTS, the publicity model of Seoul has released new song With Seoul on the Visit Seoul website! Please click the link for"
"289","RT @save_vicmarket: SAVE VIC MARKET RALLY featuring Dan Sultan @9NewsMelb @7NewsMelbourne @3AW693 #savevicmarket /CWUrNRekKn"
"290","RT @KasaiREX: when you run into an old friend and yall have been riding two different waves but the loves still there /cgwizj"
"291","@blacuesta I have it now."
"292","RT @Smileyanie: Yoong in casual is the best /nj0m8odRQu"
"293","RT @Sunderland2021: It wasnt to be, but we certainly gave it our best shot! Well done and thank you to everybody in Sunderland who put so"
"294","RT @KieraGorden: ALL these MP's demanded a plebiscite. ALL either voted NO or abstained, proving they were never interested in what voters"
"295","@TonyTrujilloGee @selarepanilem itll b everything I say no doubt"
"296","RT @BBCCovWarks: The AMAZING moment Coventry was crowned UK City of Culture 2021.     @Coventry2021 /3paUPC3cj1"
"297","@mattychew88 I want to know what type of gameplay we can expect. But I am intrigued."
"298","RT @ltsHarryPotter: Need this! /n7vAzC3bRT"
"299","Happy Birthday  sir /lAj5oOmjyb"
"300","RT @LegendManqele:  YOUNG  /ylMKHaDBCB"
"301","You could win a weeks drive in the Kia Sportage for the back to school run in January 2018!!! Simply tell us which /WJQNKEvu3N"
"302","RT @BridgetPhetasy: #lilacfire horses /jCykGAzLZQ"
"303","888-Bet 10 and get 30 in FREE bets,new customers t&amp;c's apply JOIN HERE /cWqIIEKL4C"
"304","take all your time dont worry, ill always wait for you"
"305","RT @WEDossett: More challenging stuff from @nikirivers &amp; @davidwebster on how motivation porn shames students for not beating the odds"
"306","RT @_angeeelaa_: any guys that want to join cheer JUST FOR STUNTING during competition season contact one of the cheerleaders to start goin"
"307","RT @NupurSharmaBJP: I question the arrogant, elitist and feudal mindset of @INCIndia Netas &amp; its Durbaris over their #NeechPoliticsOnPM @na"
